index,function,sonnet_name,gpt_name,verdict,evidence,note
1,func_AD_0x10000a92f,initQueue,Queue,Both defensible; Sonnet more precise,"maxSize, queue",
2,func_BS_0x100000522,setScope,SetValue,Both defensible; Sonnet more precise,,
3,func_BX_0x1000004a1,createProxy,proxyCreate,Both accurate / equivalent,"V, b48I, J",
4,func_Di_0x10000317a,createNamespaceObject,interopDefault,Both defensible; Sonnet more precise,"getPrototypeOf, create, __esModule, default, value, enumerable, defineProperty",
5,func_EG_0x100000559,initScopeWithFlag,Configure,Sonnet clear win,,
6,func_ER_0x1000034e3,initHandlers,Handlers,Both defensible; Sonnet more precise,handlers,
7,func_GL_0x100003179,copyProperties,CopyProps,Both accurate / equivalent,"V, gm42, J, S, g, L, O9*f, X, j, YbH*",
8,func_I1_0x10000066f,initScopeThreeParams,Options,Sonnet clear win,,
9,func_JS_0x10000706e,initStore,Store,Both defensible; Sonnet more precise,store,
10,func_JVdWv_0x100003a3e,coalesce,Default,Sonnet clear win,,"Returns a0 when truthy, otherwise a1; 'coalesce' describes the behavior."
11,func_KB_0x10000552f,noop,Empty,Both accurate / equivalent,,
12,func_Lj_0x10000a8fa,initClientName,Client,Sonnet clear win,"client, name",
13,func_NV_0x10000056e,initScopeWithRest,Setup,Sonnet clear win,,
14,func_Op_0x1000004ce,getKeys,Keys,Both defensible; Sonnet more precise,keys,
15,func_PV_0x10000056f,initWithDefaults,inject,Sonnet clear win,,
16,func_Qm_0x1000005b2,initScopeQueue,queueInit,Both defensible; Sonnet more precise,,
17,func_S_0x10000706c,initNameInject,Inject,Sonnet clear win,"name, inject",
18,func_Soe_0x100000001,setupWorkerRoot,Worker,Sonnet clear win,"default, isPrimary, worker_threads, isMainThread, Worker root already configured, setupPrimary, serialization, advanced",Checks cluster/worker-thread state and configures the worker root.
19,func_Tj_0x1000005a1,repairDatabase,Repair,Both defensible; Sonnet more precise,"repair, destroy, open, catch, status, shift, ClassicLevel, leveldb, location",
20,func_UAe_0x10000049e,createScopedProxy,proxyInit,Both defensible; Sonnet more precise,,
